macro_frame,sim_time,substep_index,alpha,body_index,logical_name,com_x,com_y,com_z,qx,qy,qz,qw
0,0.000000,12,0.390625,1,gripper_l_palm,-0.460000,0.710000,0.000000,0.260635,-0.520025,0.727193,0.364464
0,0.000000,12,0.390625,2,gripper_l_finger1,-0.460000,0.690000,0.000000,0.441995,0.146491,0.881925,0.073416
0,0.000000,12,0.390625,3,gripper_l_finger2,-0.460000,0.690000,0.000000,-0.146490,0.442011,-0.073418,0.881916
0,0.000000,12,0.390625,4,gripper_r_palm,0.460000,0.710000,0.000000,-0.260634,-0.520025,0.727193,-0.364463
0,0.000000,12,0.390625,5,gripper_r_finger1,0.460000,0.690000,0.000000,-0.442027,0.146488,0.881908,-0.073421
0,0.000000,12,0.390625,6,gripper_r_finger2,0.460000,0.690000,0.000000,-0.146490,-0.442011,0.073419,0.881917
0,0.000000,13,0.421875,1,gripper_l_palm,-0.460000,0.710000,0.000000,0.260635,-0.520025,0.727193,0.364464
0,0.000000,13,0.421875,2,gripper_l_finger1,-0.460000,0.690000,0.000000,0.441995,0.146491,0.881925,0.073416
0,0.000000,13,0.421875,3,gripper_l_finger2,-0.460000,0.690000,0.000000,-0.146490,0.442011,-0.073418,0.881916
0,0.000000,13,0.421875,4,gripper_r_palm,0.460000,0.710000,0.000000,-0.260634,-0.520025,0.727193,-0.364463
0,0.000000,13,0.421875,5,gripper_r_finger1,0.460000,0.690000,0.000000,-0.442027,0.146488,0.881908,-0.073421
0,0.000000,13,0.421875,6,gripper_r_finger2,0.460000,0.690000,0.000000,-0.146490,-0.442011,0.073419,0.881917
0,0.000000,14,0.453125,1,gripper_l_palm,-0.460000,0.710000,0.000000,0.260635,-0.520025,0.727193,0.364464
0,0.000000,14,0.453125,2,gripper_l_finger1,-0.460000,0.690000,0.000000,0.441995,0.146491,0.881925,0.073416
0,0.000000,14,0.453125,3,gripper_l_finger2,-0.460000,0.690000,0.000000,-0.146490,0.442011,-0.073418,0.881916
0,0.000000,14,0.453125,4,gripper_r_palm,0.460000,0.710000,0.000000,-0.260634,-0.520025,0.727193,-0.364463
