macro_frame,sim_time,mjc_seq_packet_a,xpbd_seq_packet_b,xpbd_macro_step_after_recv,seq_match,packet_a_eq_b,unit_count_a,unit_count_b,n_mismatch,first_mismatch_object_id,detail
414,8.280000,414,414,414,1,1,28,28,0,,ok
415,8.300000,415,415,415,1,1,28,28,0,,ok
416,8.320000,416,416,416,1,1,28,28,0,,ok
417,8.340000,417,417,417,1,1,28,28,0,,ok
418,8.360000,418,418,418,1,1,28,28,0,,ok
419,8.380000,419,419,419,1,1,28,28,0,,ok
420,8.400000,420,420,420,1,1,28,28,0,,ok
421,8.420000,421,421,421,1,1,28,28,0,,ok
422,8.440000,422,422,422,1,1,28,28,0,,ok
423,8.460000,423,423,423,1,1,28,28,0,,ok
424,8.480000,424,424,424,1,1,28,28,0,,ok
425,8.500000,425,425,425,1,1,28,28,0,,ok
426,8.520000,426,426,426,1,1,28,28,0,,ok
427,8.540000,427,427,427,1,1,28,28,0,,ok
428,8.560000,428,428,428,1,1,28,28,0,,ok
429,8.580000,429,429,429,1,1,28,28,0,,ok
430,8.600000,430,430,430,1,1,28,28,0,,ok
431,8.620000,431,431,431,1,1,28,28,0,,ok
432,8.640000,432,432,432,1,1,28,28,0,,ok
433,8.660000,433,433,433,1,1,28,28,0,,ok
434,8.680000,434,434,434,1,1,28,28,0,,ok
435,8.700000,435,435,435,1,1,28,28,0,,ok
436,8.720000,436,436,436,1,1,28,28,0,,ok
437,8.740000,437,437,437,1,1,28,28,0,,ok
438,8.760000,438,438,438,1,1,28,28,0,,ok
439,8.780000,439,439,439,1,1,28,28,0,,ok
440,8.800000,440,440,440,1,1,28,28,0,,ok
441,8.820000,441,441,441,1,1,28,28,0,,ok
442,8.840000,442,442,442,1,1,28,28,0,,ok
443,8.860000,443,443,443,1,1,28,28,0,,ok
444,8.880000,444,444,444,1,1,28,28,0,,ok
445,8.900000,445,445,445,1,1,28,28,0,,ok
446,8.920000,446,446,446,1,1,28,28,0,,ok
447,8.940000,447,447,447,1,1,28,28,0,,ok
448,8.960000,448,448,448,1,1,28,28,0,,ok
449,8.980000,449,449,449,1,1,28,28,0,,ok
450,9.000000,450,450,450,1,1,28,28,0,,ok
451,9.020000,451,451,451,1,1,28,28,0,,ok
452,9.040000,452,452,452,1,1,28,28,0,,ok
453,9.060000,453,453,453,1,1,28,28,0,,ok
454,9.080000,454,454,454,1,1,28,28,0,,ok
455,9.100000,455,455,455,1,1,28,28,0,,ok
456,9.120000,456,456,456,1,1,28,28,0,,ok
457,9.140000,457,457,457,1,1,28,28,0,,ok
458,9.160000,458,458,458,1,1,28,28,0,,ok
459,9.180000,459,459,459,1,1,28,28,0,,ok
460,9.200000,460,460,460,1,1,28,28,0,,ok
461,9.220000,461,461,461,1,1,28,28,0,,ok
462,9.240000,462,462,462,1,1,28,28,0,,ok
463,9.260000,463,463,463,1,1,28,28,0,,ok
464,9.280000,464,464,464,1,1,28,28,0,,ok
465,9.300000,465,465,465,1,1,28,28,0,,ok
466,9.320000,466,466,466,1,1,28,28,0,,ok
467,9.340000,467,467,467,1,1,28,28,0,,ok
468,9.360000,468,468,468,1,1,28,28,0,,ok
469,9.380000,469,469,469,1,1,28,28,0,,ok
470,9.400000,470,470,470,1,1,28,28,0,,ok
471,9.420000,471,471,471,1,1,28,28,0,,ok
472,9.440000,472,472,472,1,1,28,28,0,,ok
473,9.460000,473,473,473,1,1,28,28,0,,ok
474,9.480000,474,474,474,1,1,28,28,0,,ok
475,9.500000,475,475,475,1,1,28,28,0,,ok
476,9.520000,476,476,476,1,1,28,28,0,,ok
477,9.540000,477,477,477,1,1,28,28,0,,ok
478,9.560000,478,478,478,1,1,28,28,0,,ok
479,9.580000,479,479,479,1,1,28,28,0,,ok
480,9.600000,480,480,480,1,1,28,28,0,,ok
481,9.620000,481,481,481,1,1,28,28,0,,ok
482,9.640000,482,482,482,1,1,28,28,0,,ok
483,9.660000,483,483,483,1,1,28,28,0,,ok
484,9.680000,484,484,484,1,1,28,28,0,,ok
485,9.700000,485,485,485,1,1,28,28,0,,ok
486,9.720000,486,486,486,1,1,28,28,0,,ok
487,9.740000,487,487,487,1,1,28,28,0,,ok
488,9.760000,488,488,488,1,1,28,28,0,,ok
489,9.780000,489,489,489,1,1,28,28,0,,ok
490,9.800000,490,490,490,1,1,28,28,0,,ok
491,9.819999,491,491,491,1,1,28,28,0,,ok
492,9.839999,492,492,492,1,1,28,28,0,,ok
493,9.859999,493,493,493,1,1,28,28,0,,ok
494,9.879999,494,494,494,1,1,28,28,0,,ok
495,9.899999,495,495,495,1,1,28,28,0,,ok
496,9.919999,496,496,496,1,1,28,28,0,,ok
497,9.939999,497,497,497,1,1,28,28,0,,ok
498,9.959999,498,498,498,1,1,28,28,0,,ok
499,9.979999,499,499,499,1,1,28,28,0,,ok
500,9.999999,500,500,500,1,1,28,28,0,,ok
501,10.019999,501,501,501,1,1,28,28,0,,ok
502,10.039999,502,502,502,1,1,28,28,0,,ok
503,10.059999,503,503,503,1,1,28,28,0,,ok
504,10.079999,504,504,504,1,1,28,28,0,,ok
505,10.099999,505,505,505,1,1,28,28,0,,ok
506,10.119999,506,506,506,1,1,28,28,0,,ok
507,10.139999,507,507,507,1,1,28,28,0,,ok
508,10.159999,508,508,508,1,1,28,28,0,,ok
509,10.179999,509,509,509,1,1,28,28,0,,ok
510,10.199999,510,510,510,1,1,28,28,0,,ok
