macro_frame,sim_time,t1_utc,t4_utc,t_step_utc,seq_ok
72,1.440000,1781659074.375526667,1781659074.528321028,1781659074.528330564,1
73,1.460000,1781659074.533246756,1781659074.696193695,1781659074.696211100,1
74,1.480000,1781659074.701216459,1781659074.861276388,1781659074.861294985,1
75,1.500000,1781659074.866193295,1781659075.030397892,1781659075.030409575,1
76,1.520000,1781659075.035214186,1781659075.198075533,1781659075.198085785,1
77,1.540000,1781659075.202919245,1781659075.364595175,1781659075.364614487,1
78,1.560000,1781659075.369916677,1781659075.534130096,1781659075.534141541,1
79,1.580000,1781659075.538742065,1781659075.699540138,1781659075.699558258,1
80,1.600000,1781659075.705312967,1781659075.868735075,1781659075.868753433,1
81,1.620000,1781659075.873791695,1781659076.035064936,1781659076.035081625,1
82,1.640000,1781659076.041280508,1781659076.201600313,1781659076.201617241,1
83,1.660000,1781659076.206793308,1781659076.368214607,1781659076.368232012,1
84,1.680000,1781659076.373219013,1781659076.542924643,1781659076.542934895,1
85,1.700000,1781659076.547795057,1781659076.720119238,1781659076.720131874,1
86,1.720000,1781659076.724853754,1781659076.885470629,1781659076.885480881,1
