macro_frame,sim_time,body_index,logical_name,com_before_x,com_before_y,com_before_z,com_after_x,com_after_y,com_after_z,target_x,target_y,target_z,com_jump_m,com_to_target_before_m,max_vtx_jump_m,max_vtx_id
16,0.320000,4,gripper_r_palm,0.460000,0.699701,0.000000,0.460000,0.699580,-0.000000,0.460000,0.699580,-0.000000,0.000121,0.000121,0.000121,0
16,0.320000,5,gripper_r_finger1,0.460000,0.679701,0.000003,0.460000,0.679580,-0.000000,0.460000,0.679580,-0.000000,0.000121,0.000121,0.000121,0
16,0.320000,6,gripper_r_finger2,0.460000,0.679701,-0.000003,0.460000,0.679580,-0.000000,0.460000,0.679580,-0.000000,0.000121,0.000121,0.000121,1
17,0.340000,0,base,0.000000,0.150000,0.000000,0.000000,0.150000,0.000000,0.000000,0.150000,0.000000,0.000000,0.000000,0.000000,0
17,0.340000,1,gripper_l_palm,-0.460000,0.698459,0.000000,-0.460000,0.698364,-0.000000,-0.460000,0.698364,-0.000000,0.000095,0.000095,0.000095,0
17,0.340000,2,gripper_l_finger1,-0.460000,0.678459,0.000002,-0.460000,0.678364,-0.000000,-0.460000,0.678364,-0.000000,0.000095,0.000095,0.000095,0
17,0.340000,3,gripper_l_finger2,-0.460000,0.678459,-0.000002,-0.460000,0.678364,-0.000000,-0.460000,0.678364,-0.000000,0.000095,0.000095,0.000095,1
17,0.340000,4,gripper_r_palm,0.460000,0.698459,0.000000,0.460000,0.698364,-0.000000,0.460000,0.698364,-0.000000,0.000095,0.000095,0.000095,0
17,0.340000,5,gripper_r_finger1,0.460000,0.678459,0.000002,0.460000,0.678364,-0.000000,0.460000,0.678364,-0.000000,0.000095,0.000095,0.000095,0
17,0.340000,6,gripper_r_finger2,0.460000,0.678459,-0.000002,0.460000,0.678364,-0.000000,0.460000,0.678364,-0.000000,0.000095,0.000095,0.000095,1
18,0.360000,0,base,0.000000,0.150000,0.000000,0.000000,0.150000,0.000000,0.000000,0.150000,0.000000,0.000000,0.000000,0.000000,0
18,0.360000,1,gripper_l_palm,-0.460000,0.697157,0.000000,-0.460000,0.697101,-0.000000,-0.460000,0.697101,-0.000000,0.000056,0.000056,0.000056,0
18,0.360000,2,gripper_l_finger1,-0.460000,0.677157,0.000001,-0.460000,0.677101,-0.000000,-0.460000,0.677101,-0.000000,0.000056,0.000056,0.000056,0
