wall_utc,node,side,seq,expect_seq,ok,detail
0,XPBD_PUBLISH_FORCE,xpbd,74,74,1,ch21
0,XPBD_RECV_POSITION,xpbd,75,75,1,ch20
0,XPBD_PUBLISH_FORCE,xpbd,75,75,1,ch21
0,XPBD_RECV_POSITION,xpbd,76,76,1,ch20
0,XPBD_PUBLISH_FORCE,xpbd,76,76,1,ch21
0,XPBD_RECV_POSITION,xpbd,77,77,1,ch20
0,XPBD_PUBLISH_FORCE,xpbd,77,77,1,ch21
0,XPBD_RECV_POSITION,xpbd,78,78,1,ch20
0,XPBD_PUBLISH_FORCE,xpbd,78,78,1,ch21
0,XPBD_RECV_POSITION,xpbd,79,79,1,ch20
0,XPBD_PUBLISH_FORCE,xpbd,79,79,1,ch21
0,XPBD_RECV_POSITION,xpbd,80,80,1,ch20
0,XPBD_PUBLISH_FORCE,xpbd,80,80,1,ch21
0,XPBD_RECV_POSITION,xpbd,81,81,1,ch20
0,XPBD_PUBLISH_FORCE,xpbd,81,81,1,ch21
0,XPBD_RECV_POSITION,xpbd,82,82,1,ch20
0,XPBD_PUBLISH_FORCE,xpbd,82,82,1,ch21
0,XPBD_RECV_POSITION,xpbd,83,83,1,ch20
0,XPBD_PUBLISH_FORCE,xpbd,83,83,1,ch21
0,XPBD_RECV_POSITION,xpbd,84,84,1,ch20
0,XPBD_PUBLISH_FORCE,xpbd,84,84,1,ch21
0,XPBD_RECV_POSITION,xpbd,85,85,1,ch20
0,XPBD_PUBLISH_FORCE,xpbd,85,85,1,ch21
0,XPBD_RECV_POSITION,xpbd,86,86,1,ch20
0,XPBD_PUBLISH_FORCE,xpbd,86,86,1,ch21
0,XPBD_RECV_POSITION,xpbd,87,87,1,ch20
0,XPBD_PUBLISH_FORCE,xpbd,87,87,1,ch21
0,XPBD_RECV_POSITION,xpbd,88,88,1,ch20
0,XPBD_PUBLISH_FORCE,xpbd,88,88,1,ch21
0,XPBD_RECV_POSITION,xpbd,89,89,1,ch20
0,XPBD_PUBLISH_FORCE,xpbd,89,89,1,ch21
0,XPBD_RECV_POSITION,xpbd,90,90,1,ch20
0,XPBD_PUBLISH_FORCE,xpbd,90,90,1,ch21
0,XPBD_RECV_POSITION,xpbd,91,91,1,ch20
0,XPBD_PUBLISH_FORCE,xpbd,91,91,1,ch21
0,XPBD_RECV_POSITION,xpbd,92,92,1,ch20
0,XPBD_PUBLISH_FORCE,xpbd,92,92,1,ch21
0,XPBD_RECV_POSITION,xpbd,93,93,1,ch20
0,XPBD_PUBLISH_FORCE,xpbd,93,93,1,ch21
0,XPBD_RECV_POSITION,xpbd,94,94,1,ch20
0,XPBD_PUBLISH_FORCE,xpbd,94,94,1,ch21
0,XPBD_RECV_POSITION,xpbd,95,95,1,ch20
0,XPBD_PUBLISH_FORCE,xpbd,95,95,1,ch21
0,XPBD_RECV_POSITION,xpbd,96,96,1,ch20
0,XPBD_PUBLISH_FORCE,xpbd,96,96,1,ch21
0,XPBD_RECV_POSITION,xpbd,97,97,1,ch20
0,XPBD_PUBLISH_FORCE,xpbd,97,97,1,ch21
0,XPBD_RECV_POSITION,xpbd,98,98,1,ch20
0,XPBD_PUBLISH_FORCE,xpbd,98,98,1,ch21
0,XPBD_RECV_POSITION,xpbd,99,99,1,ch20
0,XPBD_PUBLISH_FORCE,xpbd,99,99,1,ch21
0,XPBD_RECV_POSITION,xpbd,100,100,1,ch20
0,XPBD_PUBLISH_FORCE,xpbd,100,100,1,ch21
0,XPBD_RECV_POSITION,xpbd,101,101,1,ch20
0,XPBD_PUBLISH_FORCE,xpbd,101,101,1,ch21
0,XPBD_RECV_POSITION,xpbd,102,102,1,ch20
0,XPBD_PUBLISH_FORCE,xpbd,102,102,1,ch21
0,XPBD_RECV_POSITION,xpbd,103,103,1,ch20
0,XPBD_PUBLISH_FORCE,xpbd,103,103,1,ch21
0,XPBD_RECV_POSITION,xpbd,104,104,1,ch20
0,XPBD_PUBLISH_FORCE,xpbd,104,104,1,ch21
0,XPBD_RECV_POSITION,xpbd,105,105,1,ch20
0,XPBD_PUBLISH_FORCE,xpbd,105,105,1,ch21
0,XPBD_RECV_POSITION,xpbd,106,106,1,ch20
0,XPBD_PUBLISH_FORCE,xpbd,106,106,1,ch21
0,XPBD_RECV_POSITION,xpbd,107,107,1,ch20
0,XPBD_PUBLISH_FORCE,xpbd,107,107,1,ch21
0,XPBD_RECV_POSITION,xpbd,108,108,1,ch20
0,XPBD_PUBLISH_FORCE,xpbd,108,108,1,ch21
0,XPBD_RECV_POSITION,xpbd,109,109,1,ch20
0,XPBD_PUBLISH_FORCE,xpbd,109,109,1,ch21
0,XPBD_RECV_POSITION,xpbd,110,110,1,ch20
0,XPBD_PUBLISH_FORCE,xpbd,110,110,1,ch21
0,XPBD_RECV_POSITION,xpbd,111,111,1,ch20
0,XPBD_PUBLISH_FORCE,xpbd,111,111,1,ch21
0,XPBD_RECV_POSITION,xpbd,112,112,1,ch20
0,XPBD_PUBLISH_FORCE,xpbd,112,112,1,ch21
0,XPBD_RECV_POSITION,xpbd,113,113,1,ch20
0,XPBD_PUBLISH_FORCE,xpbd,113,113,1,ch21
0,XPBD_RECV_POSITION,xpbd,114,114,1,ch20
0,XPBD_PUBLISH_FORCE,xpbd,114,114,1,ch21
0,XPBD_RECV_POSITION,xpbd,115,115,1,ch20
0,XPBD_PUBLISH_FORCE,xpbd,115,115,1,ch21
0,XPBD_RECV_POSITION,xpbd,116,116,1,ch20
0,XPBD_PUBLISH_FORCE,xpbd,116,116,1,ch21
0,XPBD_RECV_POSITION,xpbd,117,117,1,ch20
0,XPBD_PUBLISH_FORCE,xpbd,117,117,1,ch21
0,XPBD_RECV_POSITION,xpbd,118,118,1,ch20
0,XPBD_PUBLISH_FORCE,xpbd,118,118,1,ch21
0,XPBD_RECV_POSITION,xpbd,119,119,1,ch20
0,XPBD_PUBLISH_FORCE,xpbd,119,119,1,ch21
0,XPBD_RECV_POSITION,xpbd,120,120,1,ch20
0,XPBD_PUBLISH_FORCE,xpbd,120,120,1,ch21
0,XPBD_RECV_POSITION,xpbd,121,121,1,ch20
0,XPBD_PUBLISH_FORCE,xpbd,121,121,1,ch21
0,XPBD_RECV_POSITION,xpbd,122,122,1,ch20
0,XPBD_PUBLISH_FORCE,xpbd,122,122,1,ch21
0,XPBD_RECV_POSITION,xpbd,123,123,1,ch20
0,XPBD_PUBLISH_FORCE,xpbd,123,123,1,ch21
0,XPBD_RECV_POSITION,xpbd,124,124,1,ch20
0,XPBD_PUBLISH_FORCE,xpbd,124,124,1,ch21
0,XPBD_RECV_POSITION,xpbd,125,125,1,ch20
0,XPBD_PUBLISH_FORCE,xpbd,125,125,1,ch21
0,XPBD_RECV_POSITION,xpbd,126,126,1,ch20
0,XPBD_PUBLISH_FORCE,xpbd,126,126,1,ch21
0,XPBD_RECV_POSITION,xpbd,127,127,1,ch20
0,XPBD_PUBLISH_FORCE,xpbd,127,127,1,ch21
0,XPBD_RECV_POSITION,xpbd,128,128,1,ch20
0,XPBD_PUBLISH_FORCE,xpbd,128,128,1,ch21
0,XPBD_RECV_POSITION,xpbd,129,129,1,ch20
0,XPBD_PUBLISH_FORCE,xpbd,129,129,1,ch21
0,XPBD_RECV_POSITION,xpbd,130,130,1,ch20
0,XPBD_PUBLISH_FORCE,xpbd,130,130,1,ch21
0,XPBD_RECV_POSITION,xpbd,131,131,1,ch20
0,XPBD_PUBLISH_FORCE,xpbd,131,131,1,ch21
0,XPBD_RECV_POSITION,xpbd,132,132,1,ch20
0,XPBD_PUBLISH_FORCE,xpbd,132,132,1,ch21
0,XPBD_RECV_POSITION,xpbd,133,133,1,ch20
0,XPBD_PUBLISH_FORCE,xpbd,133,133,1,ch21
0,XPBD_RECV_POSITION,xpbd,134,134,1,ch20
0,XPBD_PUBLISH_FORCE,xpbd,134,134,1,ch21
0,XPBD_RECV_POSITION,xpbd,135,135,1,ch20
0,XPBD_PUBLISH_FORCE,xpbd,135,135,1,ch21
0,XPBD_RECV_POSITION,xpbd,136,136,1,ch20
0,XPBD_PUBLISH_FORCE,xpbd,136,136,1,ch21
0,XPBD_RECV_POSITION,xpbd,137,137,1,ch20
0,XPBD_PUBLISH_FORCE,xpbd,137,137,1,ch21
0,XPBD_RECV_POSITION,xpbd,138,138,1,ch20
0,XPBD_PUBLISH_FORCE,xpbd,138,138,1,ch21
0,XPBD_RECV_POSITION,xpbd,139,139,1,ch20
0,XPBD_PUBLISH_FORCE,xpbd,139,139,1,ch21
0,XPBD_RECV_POSITION,xpbd,140,140,1,ch20
0,XPBD_PUBLISH_FORCE,xpbd,140,140,1,ch21
0,XPBD_RECV_POSITION,xpbd,141,141,1,ch20
0,XPBD_PUBLISH_FORCE,xpbd,141,141,1,ch21
0,XPBD_RECV_POSITION,xpbd,142,142,1,ch20
0,XPBD_PUBLISH_FORCE,xpbd,142,142,1,ch21
0,XPBD_RECV_POSITION,xpbd,143,143,1,ch20
0,XPBD_PUBLISH_FORCE,xpbd,143,143,1,ch21
0,XPBD_RECV_POSITION,xpbd,144,144,1,ch20
0,XPBD_PUBLISH_FORCE,xpbd,144,144,1,ch21
0,XPBD_RECV_POSITION,xpbd,145,145,1,ch20
0,XPBD_PUBLISH_FORCE,xpbd,145,145,1,ch21
0,XPBD_RECV_POSITION,xpbd,146,146,1,ch20
0,XPBD_PUBLISH_FORCE,xpbd,146,146,1,ch21
0,XPBD_RECV_POSITION,xpbd,147,147,1,ch20
0,XPBD_PUBLISH_FORCE,xpbd,147,147,1,ch21
0,XPBD_RECV_POSITION,xpbd,148,148,1,ch20
0,XPBD_PUBLISH_FORCE,xpbd,148,148,1,ch21
0,XPBD_RECV_POSITION,xpbd,149,149,1,ch20
0,XPBD_PUBLISH_FORCE,xpbd,149,149,1,ch21
0,XPBD_RECV_POSITION,xpbd,150,150,1,ch20
0,XPBD_PUBLISH_FORCE,xpbd,150,150,1,ch21
0,XPBD_RECV_POSITION,xpbd,151,151,1,ch20
0,XPBD_PUBLISH_FORCE,xpbd,151,151,1,ch21
0,XPBD_RECV_POSITION,xpbd,152,152,1,ch20
0,XPBD_PUBLISH_FORCE,xpbd,152,152,1,ch21
0,XPBD_RECV_POSITION,xpbd,153,153,1,ch20
0,XPBD_PUBLISH_FORCE,xpbd,153,153,1,ch21
0,XPBD_RECV_POSITION,xpbd,154,154,1,ch20
0,XPBD_PUBLISH_FORCE,xpbd,154,154,1,ch21
0,XPBD_RECV_POSITION,xpbd,155,155,1,ch20
0,XPBD_PUBLISH_FORCE,xpbd,155,155,1,ch21
0,XPBD_RECV_POSITION,xpbd,156,156,1,ch20
0,XPBD_PUBLISH_FORCE,xpbd,156,156,1,ch21
0,XPBD_RECV_POSITION,xpbd,157,157,1,ch20
0,XPBD_PUBLISH_FORCE,xpbd,157,157,1,ch21
0,XPBD_RECV_POSITION,xpbd,158,158,1,ch20
0,XPBD_PUBLISH_FORCE,xpbd,158,158,1,ch21
0,XPBD_RECV_POSITION,xpbd,159,159,1,ch20
0,XPBD_PUBLISH_FORCE,xpbd,159,159,1,ch21
0,XPBD_RECV_POSITION,xpbd,160,160,1,ch20
0,XPBD_PUBLISH_FORCE,xpbd,160,160,1,ch21
0,XPBD_RECV_POSITION,xpbd,161,161,1,ch20
0,XPBD_PUBLISH_FORCE,xpbd,161,161,1,ch21
0,XPBD_RECV_POSITION,xpbd,162,162,1,ch20
0,XPBD_PUBLISH_FORCE,xpbd,162,162,1,ch21
0,XPBD_RECV_POSITION,xpbd,163,163,1,ch20
0,XPBD_PUBLISH_FORCE,xpbd,163,163,1,ch21
0,XPBD_RECV_POSITION,xpbd,164,164,1,ch20
0,XPBD_PUBLISH_FORCE,xpbd,164,164,1,ch21
0,XPBD_RECV_POSITION,xpbd,165,165,1,ch20
0,XPBD_PUBLISH_FORCE,xpbd,165,165,1,ch21
0,XPBD_RECV_POSITION,xpbd,166,166,1,ch20
0,XPBD_PUBLISH_FORCE,xpbd,166,166,1,ch21
0,XPBD_RECV_POSITION,xpbd,167,167,1,ch20
0,XPBD_PUBLISH_FORCE,xpbd,167,167,1,ch21
0,XPBD_RECV_POSITION,xpbd,168,168,1,ch20
0,XPBD_PUBLISH_FORCE,xpbd,168,168,1,ch21
0,XPBD_RECV_POSITION,xpbd,169,169,1,ch20
0,XPBD_PUBLISH_FORCE,xpbd,169,169,1,ch21
0,XPBD_RECV_POSITION,xpbd,170,170,1,ch20
0,XPBD_PUBLISH_FORCE,xpbd,170,170,1,ch21
0,XPBD_RECV_POSITION,xpbd,171,171,1,ch20
0,XPBD_PUBLISH_FORCE,xpbd,171,171,1,ch21
0,XPBD_RECV_POSITION,xpbd,172,172,1,ch20
0,XPBD_PUBLISH_FORCE,xpbd,172,172,1,ch21
0,XPBD_RECV_POSITION,xpbd,173,173,1,ch20
0,XPBD_PUBLISH_FORCE,xpbd,173,173,1,ch21
0,XPBD_RECV_POSITION,xpbd,174,174,1,ch20
0,XPBD_PUBLISH_FORCE,xpbd,174,174,1,ch21
0,XPBD_RECV_POSITION,xpbd,175,175,1,ch20
0,XPBD_PUBLISH_FORCE,xpbd,175,175,1,ch21
0,XPBD_RECV_POSITION,xpbd,176,176,1,ch20
0,XPBD_PUBLISH_FORCE,xpbd,176,176,1,ch21
0,XPBD_RECV_POSITION,xpbd,177,177,1,ch20
0,XPBD_PUBLISH_FORCE,xpbd,177,177,1,ch21
0,XPBD_RECV_POSITION,xpbd,178,178,1,ch20
0,XPBD_PUBLISH_FORCE,xpbd,178,178,1,ch21
0,XPBD_RECV_POSITION,xpbd,179,179,1,ch20
0,XPBD_PUBLISH_FORCE,xpbd,179,179,1,ch21
0,XPBD_RECV_POSITION,xpbd,180,180,1,ch20
0,XPBD_PUBLISH_FORCE,xpbd,180,180,1,ch21
0,XPBD_RECV_POSITION,xpbd,181,181,1,ch20
0,XPBD_PUBLISH_FORCE,xpbd,181,181,1,ch21
0,XPBD_RECV_POSITION,xpbd,182,182,1,ch20
