macro_frame,sim_time,t1w_utc,t2_utc,t3_utc,t_force_utc,seq_ok
44,0.880000,1781244062.766234398,1781244062.768130064,1781244062.887857676,1781244062.887863398,1
45,0.900000,1781244062.899666786,1781244062.900938272,1781244063.013336897,1781244063.013344765,1
46,0.920000,1781244063.033105135,1781244063.035022020,1781244063.148390055,1781244063.148396969,1
47,0.940000,1781244063.166667938,1781244063.168059826,1781244063.280694485,1781244063.280701399,1
48,0.960000,1781244063.300060987,1781244063.301473618,1781244063.414577007,1781244063.414582491,1
49,0.980000,1781244063.433449745,1781244063.434850454,1781244063.556205034,1781244063.556212664,1
50,1.000000,1781244063.566669226,1781244063.568035603,1781244063.681140423,1781244063.681146622,1
51,1.020000,1781244063.700429916,1781244063.702303410,1781244063.815807819,1781244063.815814734,1
52,1.040000,1781244063.833893776,1781244063.835337877,1781244063.948615789,1781244063.948621511,1
53,1.060000,1781244063.967250109,1781244063.968702793,1781244064.081385374,1781244064.081393719,1
54,1.080000,1781244064.101100206,1781244064.103066206,1781244064.224983454,1781244064.224989176,1
55,1.100000,1781244064.250703812,1781244064.252268314,1781244064.365841150,1781244064.365848541,1
56,1.120000,1781244064.384173632,1781244064.385699034,1781244064.498724937,1781244064.498730898,1
57,1.140000,1781244064.517586231,1781244064.519151211,1781244064.631556273,1781244064.631564617,1
58,1.160000,1781244064.651155710,1781244064.652722597,1781244064.766042948,1781244064.766048908,1
59,1.180000,1781244064.784604311,1781244064.786215305,1781244064.899287224,1781244064.899295568,1
60,1.200000,1781244064.985215425,1781244064.986845732,1781244065.101129293,1781244065.101134539,1
