macro_frame,sim_time,logical_name,object_id,data_type,x,y,z,qw,qx,qy,qz,vx,vy,vz,wx,wy,wz
3,0.060000,gripper_r_palm,gripper_r_palm_body_p,POSITION,0.460000008,0,0.708096147,1,0,0,0,,,,,,
3,0.060000,gripper_r_palm,gripper_r_palm_body_v,VELOCITY,,,,,,,,0,0,0.051946871,0,0,0
3,0.060000,gripper_r_palm,gripper_r_palm_body_w,VELOCITY,,,,,,,,0,0,0,0,0,0
3,0.060000,gripper_r_finger1,gripper_r_finger1_body_q,POSITION,0,0,0,0.133096248,-0.991103113,0,0,,,,,,
3,0.060000,gripper_r_finger1,gripper_r_finger1_body_p,POSITION,0.460000008,0,0.688096106,1,0,0,0,,,,,,
3,0.060000,gripper_r_finger1,gripper_r_finger1_body_v,VELOCITY,,,,,,,,0,-0.03774653,0.051946871,0,0,0
3,0.060000,gripper_r_finger1,gripper_r_finger1_body_w,VELOCITY,,,,,,,,0,0,0,1.95593774,0,0
3,0.060000,gripper_r_finger2,gripper_r_finger2_body_q,POSITION,0,0,0,0.133096248,0.991103113,0,0,,,,,,
3,0.060000,gripper_r_finger2,gripper_r_finger2_body_p,POSITION,0.460000008,0,0.688096106,1,0,0,0,,,,,,
3,0.060000,gripper_r_finger2,gripper_r_finger2_body_v,VELOCITY,,,,,,,,0,0.03774653,0.051946871,0,0,0
3,0.060000,gripper_r_finger2,gripper_r_finger2_body_w,VELOCITY,,,,,,,,0,0,0,-1.95593774,0,0
4,0.080000,base,base_body_q,POSITION,0,0,0,1,0,0,0,,,,,,
4,0.080000,base,base_body_p,POSITION,0,-0,0.150000006,1,0,0,0,,,,,,
4,0.080000,base,base_body_v,VELOCITY,,,,,,,,0,0,0,0,0,0
4,0.080000,base,base_body_w,VELOCITY,,,,,,,,0,0,0,0,0,0
4,0.080000,gripper_l_palm,gripper_l_palm_body_q,POSITION,0,0,0,1,0,0,0,,,,,,
4,0.080000,gripper_l_palm,gripper_l_palm_body_p,POSITION,-0.460000008,0,0.708568752,1,0,0,0,,,,,,
4,0.080000,gripper_l_palm,gripper_l_palm_body_v,VELOCITY,,,,,,,,0,0,0.00613491284,0,0,0
4,0.080000,gripper_l_palm,gripper_l_palm_body_w,VELOCITY,,,,,,,,0,0,0,0,0,0
4,0.080000,gripper_l_finger1,gripper_l_finger1_body_q,POSITION,0,0,0,0.174895748,-0.984586954,0,0,,,,,,
4,0.080000,gripper_l_finger1,gripper_l_finger1_body_p,POSITION,-0.460000008,0,0.688568711,1,0,0,0,,,,,,
4,0.080000,gripper_l_finger1,gripper_l_finger1_body_v,VELOCITY,,,,,,,,0,-0.0928144231,0.00613491284,0,0,0
4,0.080000,gripper_l_finger1,gripper_l_finger1_body_w,VELOCITY,,,,,,,,0,0,0,4.93993998,0,0
4,0.080000,gripper_l_finger2,gripper_l_finger2_body_q,POSITION,0,0,0,0.174895748,0.984586954,0,0,,,,,,
4,0.080000,gripper_l_finger2,gripper_l_finger2_body_p,POSITION,-0.460000008,0,0.688568711,1,0,0,0,,,,,,
4,0.080000,gripper_l_finger2,gripper_l_finger2_body_v,VELOCITY,,,,,,,,0,0.0928144231,0.00613491284,0,0,0
4,0.080000,gripper_l_finger2,gripper_l_finger2_body_w,VELOCITY,,,,,,,,0,0,0,-4.93993998,0,0
4,0.080000,gripper_r_palm,gripper_r_palm_body_q,POSITION,0,0,0,1,0,0,0,,,,,,
4,0.080000,gripper_r_palm,gripper_r_palm_body_p,POSITION,0.460000008,0,0.708568752,1,0,0,0,,,,,,
4,0.080000,gripper_r_palm,gripper_r_palm_body_v,VELOCITY,,,,,,,,0,0,0.00613491284,0,0,0
4,0.080000,gripper_r_palm,gripper_r_palm_body_w,VELOCITY,,,,,,,,0,0,0,0,0,0
4,0.080000,gripper_r_finger1,gripper_r_finger1_body_q,POSITION,0,0,0,0.174895748,-0.984586954,0,0,,,,,,
4,0.080000,gripper_r_finger1,gripper_r_finger1_body_p,POSITION,0.460000008,0,0.688568711,1,0,0,0,,,,,,
4,0.080000,gripper_r_finger1,gripper_r_finger1_body_v,VELOCITY,,,,,,,,0,-0.0928144231,0.00613491284,0,0,0
4,0.080000,gripper_r_finger1,gripper_r_finger1_body_w,VELOCITY,,,,,,,,0,0,0,4.93993998,0,0
4,0.080000,gripper_r_finger2,gripper_r_finger2_body_q,POSITION,0,0,0,0.174895748,0.984586954,0,0,,,,,,
4,0.080000,gripper_r_finger2,gripper_r_finger2_body_p,POSITION,0.460000008,0,0.688568711,1,0,0,0,,,,,,
4,0.080000,gripper_r_finger2,gripper_r_finger2_body_v,VELOCITY,,,,,,,,0,0.0928144231,0.00613491284,0,0,0
4,0.080000,gripper_r_finger2,gripper_r_finger2_body_w,VELOCITY,,,,,,,,0,0,0,-4.93993998,0,0
5,0.100000,base,base_body_q,POSITION,0,0,0,1,0,0,0,,,,,,
5,0.100000,base,base_body_p,POSITION,0,-0,0.150000006,1,0,0,0,,,,,,
5,0.100000,base,base_body_v,VELOCITY,,,,,,,,0,0,0,0,0,0
5,0.100000,base,base_body_w,VELOCITY,,,,,,,,0,0,0,0,0,0
5,0.100000,gripper_l_palm,gripper_l_palm_body_q,POSITION,0,0,0,1,0,0,0,,,,,,
5,0.100000,gripper_l_palm,gripper_l_palm_body_p,POSITION,-0.460000008,0,0.708404243,1,0,0,0,,,,,,
5,0.100000,gripper_l_palm,gripper_l_palm_body_v,VELOCITY,,,,,,,,0,0,-0.0144116925,0,0,0
5,0.100000,gripper_l_palm,gripper_l_palm_body_w,VELOCITY,,,,,,,,0,0,0,0,0,0
5,0.100000,gripper_l_finger1,gripper_l_finger1_body_q,POSITION,0,0,0,0.218108997,-0.975924432,0,0,,,,,,
5,0.100000,gripper_l_finger1,gripper_l_finger1_body_p,POSITION,-0.460000008,0,0.688404262,1,0,0,0,,,,,,
